trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20230523,000546.SZ,金圆股份,环境保护,吉林,0.0,7.12,7.81,75.23,37.56,15.4,20.97,2.69,-0.019,6.21,1.4,19931215,18.17,2.33,-22.82,-3.47,-5.41,-5.94,52867
20230523,000547.SZ,航天发展,通信设备,福建,0.0,15.88,15.98,142.18,79.58,7.13,52.92,3.31,-0.07,5.51,1.76,19931130,30.81,1.93,-46.16,-179.89,16.07,-25.29,176760
20230523,000548.SZ,湖南投资,路桥,湖南,32.27,4.99,4.99,35.76,26.16,1.86,4.78,0.96,0.04,3.77,1.32,19931220,7.58,1.52,45.8,134.27,48.67,17.67,54136
20230523,000550.SZ,江铃汽车,汽车整车,江西,15.53,5.18,8.63,267.32,171.19,52.66,8.39,0.97,0.21,10.92,1.2,19931201,73.06,8.46,4.06,-5.79,13.38,2.07,44131
20230523,000551.SZ,创元科技,专用机械,江苏,26.09,4.0,4.04,63.61,42.93,9.25,3.92,0.97,0.1,5.72,1.73,19940106,11.02,2.73,7.93,1.28,21.92,6.0,24896
20230523,000552.SZ,甘肃能化,煤炭开采,甘肃,4.09,25.05,46.11,274.11,114.3,79.43,23.44,0.51,0.208,2.97,1.14,19940106,54.47,1.18,-2.23,-25.95,47.98,30.44,68929
20230523,000553.SZ,安道麦A,农药化肥,湖北,60.36,21.77,23.3,590.11,340.01,92.25,129.46,5.56,0.04,9.85,0.88,19931203,65.39,2.81,-4.5,-80.53,24.59,0.97,42965
20230523,000554.SZ,泰山石油,石油贸易,山东,86.17,3.63,4.81,19.66,9.84,4.35,1.87,0.39,0.02,1.96,2.78,19931215,1.49,0.31,9.22,167.13,7.69,0.93,40045
20230523,000555.SZ,神州信息,软件服务,深圳,249.76,9.8,9.84,112.16,85.54,3.9,24.79,2.52,0.01,6.19,1.87,19940408,27.54,2.8,1.96,-63.33,15.39,0.21,62507
20230523,000557.SZ,西部创业,铁路,宁夏,25.55,14.58,14.58,61.96,23.66,30.85,43.22,2.96,0.054,3.9,1.43,19940617,-2.37,-0.16,-9.58,11.84,28.53,21.01,39647
20230523,000558.SZ,莱茵体育,文教休闲,浙江,150.5,12.89,12.89,18.07,2.61,2.44,0.7,0.05,0.005,0.85,3.53,19940509,-3.3,-0.26,255.17,176.27,47.84,14.25,69290
20230523,000559.SZ,万向钱潮,汽车配件,浙江,15.72,27.53,33.04,200.27,118.66,26.55,25.05,0.76,0.08,2.71,1.83,19940110,24.98,0.76,-7.64,0.01,15.0,7.46,88468
20230523,000560.SZ,我爱我家,房产服务,云南,30.26,22.5,23.56,328.25,125.51,2.81,54.43,2.31,0.022,4.4,0.61,19940202,20.95,0.89,-9.48,121.45,14.48,1.75,43955
20230523,000561.SZ,烽火电子,通信设备,陕西,0.0,6.02,6.05,40.76,31.62,6.23,1.77,0.29,-0.03,2.95,3.05,19940509,9.94,1.64,51.09,46.24,40.94,-9.93,58325
20230523,000563.SZ,陕国投Ａ,多元金融,陕西,12.44,39.64,51.14,225.07,0.0,0.62,64.52,1.26,0.065,3.24,1.0,19940110,39.03,0.76,85.14,89.83,73.83,55.33,79885
20230523,000564.SZ,ST大集,百货,陕西,0.0,151.81,191.64,277.59,60.91,27.91,157.56,0.82,-0.005,0.59,2.06,19940110,-74.4,-0.39,1.58,-846.03,42.17,-25.68,135965
