trade_date,open,high,low,close,vol,hold,datetime
2023-12-15 11:15:00,8111.0,8111.0,8071.0,8071.0,3,3,20231215111500
2023-12-15 15:00:00,8071.0,8115.0,8071.0,8075.0,4,5,20231215150000
2023-12-18 11:15:00,8100.0,8123.0,8100.0,8108.0,5,9,20231218111500
2023-12-18 15:00:00,8108.0,8116.0,8101.0,8116.0,5,13,20231218150000
2023-12-19 11:15:00,8101.0,8101.0,8070.0,8070.0,2,13,20231219111500
2023-12-19 15:00:00,8070.0,8070.0,8026.0,8027.0,14,24,20231219150000
2023-12-20 11:15:00,8052.0,8058.0,8005.0,8020.0,12,30,20231220111500
2023-12-20 15:00:00,8015.0,8027.0,8013.0,8027.0,3,31,20231220150000
2023-12-22 11:15:00,8021.0,8021.0,8016.0,8016.0,3,33,20231222111500
2023-12-22 15:00:00,8016.0,8100.0,8016.0,8100.0,4,31,20231222150000
2023-12-25 11:15:00,8079.0,8079.0,8072.0,8079.0,4,31,20231225111500
2023-12-25 15:00:00,8070.0,8070.0,8070.0,8070.0,1,31,20231225150000
2023-12-26 11:15:00,8079.0,8085.0,8070.0,8076.0,10,27,20231226111500
2023-12-26 15:00:00,8076.0,8085.0,8076.0,8085.0,1,27,20231226150000
2023-12-27 11:15:00,8060.0,8197.0,8060.0,8080.0,6,25,20231227111500
2023-12-27 15:00:00,8080.0,8095.0,8065.0,8069.0,10,32,20231227150000
2023-12-28 11:15:00,8029.0,8043.0,8029.0,8043.0,6,36,20231228111500
2023-12-28 15:00:00,8043.0,8066.0,8043.0,8044.0,7,42,20231228150000
2023-12-29 11:15:00,8099.0,8099.0,8028.0,8040.0,6,45,20231229111500
2023-12-29 15:00:00,8040.0,8040.0,8022.0,8025.0,3,46,20231229150000
2024-01-02 11:15:00,8020.0,8062.0,8003.0,8017.0,20,43,20240102111500
2024-01-02 15:00:00,8017.0,8039.0,8017.0,8028.0,9,49,20240102150000
2024-01-03 11:15:00,8021.0,8093.0,8021.0,8093.0,2,48,20240103111500
2024-01-03 15:00:00,8121.0,8126.0,8080.0,8096.0,12,50,20240103150000
2024-01-04 11:15:00,8124.0,8135.0,8107.0,8135.0,5,49,20240104111500
