trade_date,股票代码,open,close,high,low,vol,amount,振幅,ratio,change,turn_over
2019-05-15,600105,5.3,5.3,5.32,5.19,220403,121478907.0,2.5,1.92,0.1,1.78
2019-05-16,600105,5.26,5.25,5.3,5.2,170635,93813373.0,1.89,-0.94,-0.05,1.38
2019-05-17,600105,5.26,5.01,5.36,4.96,231970,126156466.0,7.62,-4.57,-0.24,1.87
2019-05-20,600105,4.95,5.0,5.11,4.83,176927,92535248.0,5.59,-0.2,-0.01,1.43
2019-05-21,600105,5.03,5.13,5.2,4.96,164395,88070738.0,4.8,2.6,0.13,1.33
2019-05-22,600105,5.15,5.17,5.33,5.1,204604,111932952.0,4.48,0.78,0.04,1.65
2019-05-23,600105,5.15,4.96,5.15,4.88,192054,100804105.0,5.22,-4.06,-0.21,1.55
2019-05-24,600105,4.96,4.83,4.99,4.82,135387,69410493.0,3.43,-2.62,-0.13,1.09
2019-05-27,600105,4.8,4.98,4.98,4.8,158039,81563720.0,3.73,3.11,0.15,1.28
2019-05-28,600105,4.97,4.93,5.04,4.91,134630,70337069.0,2.61,-1.0,-0.05,1.09
2019-05-29,600105,4.9,4.93,4.99,4.89,101267,52542066.0,2.03,0.0,0.0,0.82
2019-05-30,600105,4.92,4.72,4.92,4.56,242495,120955908.0,7.3,-4.26,-0.21,1.96
2019-05-31,600105,4.75,4.87,4.93,4.68,232338,118577301.0,5.3,3.18,0.15,1.88
2019-06-03,600105,4.89,4.8,4.94,4.68,208229,105165960.0,5.34,-1.44,-0.07,1.68
2019-06-04,600105,4.81,4.7,4.93,4.62,207931,105011617.0,6.46,-2.08,-0.1,1.68
2019-06-05,600105,4.76,4.83,4.91,4.71,183944,93126299.0,4.26,2.77,0.13,1.49
2019-06-06,600105,4.87,4.59,4.88,4.52,204922,100319053.0,7.45,-4.97,-0.24,1.65
2019-06-10,600105,4.65,4.63,4.68,4.59,99833,48781989.0,1.96,0.87,0.04,0.81
2019-06-11,600105,4.6,4.8,4.8,4.52,194616,96196780.0,6.05,3.67,0.17,1.57
2019-06-12,600105,4.79,4.86,5.0,4.74,211781,108736559.0,5.42,1.25,0.06,1.71
2019-06-13,600105,4.81,4.85,4.94,4.78,162364,82715417.0,3.29,-0.21,-0.01,1.31
2019-06-14,600105,4.88,4.88,5.05,4.84,277843,143848570.0,4.33,0.62,0.03,2.24
2019-06-17,600105,4.85,4.69,4.85,4.65,182617,90883871.0,4.1,-3.89,-0.19,1.47
2019-06-18,600105,4.68,4.6,4.71,4.58,131146,63969720.0,2.77,-1.92,-0.09,1.06
2019-06-19,600105,4.68,4.63,4.77,4.61,177572,87615795.0,3.48,0.65,0.03,1.43
2019-06-20,600105,4.61,4.66,4.67,4.46,194601,94157141.0,4.54,0.65,0.03,1.57
2019-06-21,600105,4.67,4.77,4.8,4.66,205450,102557384.0,3.0,2.36,0.11,1.66
2019-06-24,600105,4.79,4.7,4.82,4.67,126850,63081277.0,3.14,-1.47,-0.07,1.02
2019-06-25,600105,4.72,4.63,4.72,4.55,130479,63358767.0,3.62,-1.49,-0.07,1.05
2019-06-26,600105,4.6,4.62,4.71,4.55,84902,41547536.0,3.46,-0.22,-0.01,0.69
2019-06-27,600105,4.65,4.67,4.71,4.61,96376,47379806.0,2.16,1.08,0.05,0.78
2019-06-28,600105,4.65,4.57,4.67,4.55,91577,44250844.0,2.57,-2.14,-0.1,0.74
2019-07-01,600105,4.7,4.69,4.71,4.65,118281,58277010.0,1.31,2.63,0.12,0.96
2019-07-02,600105,4.69,4.66,4.7,4.63,97450,47772671.0,1.49,-0.64,-0.03,0.79
2019-07-03,600105,4.66,4.6,4.66,4.58,63472,30752022.0,1.72,-1.29,-0.06,0.51
2019-07-04,600105,4.6,4.57,4.62,4.56,59513,28768608.0,1.3,-0.65,-0.03,0.48
2019-07-05,600105,4.56,4.59,4.6,4.54,46473,22447636.0,1.31,0.44,0.02,0.38
2019-07-08,600105,4.61,4.44,4.61,4.41,89999,42629227.0,4.36,-3.27,-0.15,0.73
2019-07-09,600105,4.43,4.44,4.49,4.38,55326,25888200.0,2.48,0.0,0.0,0.45
2019-07-10,600105,4.46,4.3,4.47,4.23,93724,42991041.0,5.41,-3.15,-0.14,0.76
2019-07-11,600105,4.31,4.27,4.37,4.25,59866,27241188.0,2.79,-0.7,-0.03,0.48
2019-07-12,600105,4.27,4.32,4.33,4.2,77468,34993451.0,3.04,1.17,0.05,0.63
2019-07-15,600105,4.32,4.29,4.33,4.22,72995,31919268.0,2.55,-0.69,-0.03,0.59
2019-07-16,600105,4.3,4.35,4.38,4.28,56053,24862615.0,2.33,1.4,0.06,0.45
2019-07-17,600105,4.34,4.42,4.47,4.33,70758,31984843.0,3.22,1.61,0.07,0.57
2019-07-18,600105,4.4,4.29,4.4,4.24,58223,25763240.0,3.62,-2.94,-0.13,0.47
2019-07-19,600105,4.27,4.4,4.4,4.27,85054,37789015.0,3.03,2.56,0.11,0.69
2019-07-22,600105,4.35,4.13,4.37,4.05,122633,52495530.0,7.27,-6.14,-0.27,0.99
2019-07-23,600105,4.11,4.16,4.18,4.1,54449,23091842.0,1.94,0.73,0.03,0.44
2019-07-24,600105,4.16,4.17,4.23,4.14,129916,55596599.0,2.16,0.24,0.01,1.05
2019-07-25,600105,4.18,4.07,4.18,4.04,140195,58853791.0,3.36,-2.4,-0.1,1.13
